time,current,latWgs84,lonWgs84
2025-12-29T22:03:21.821Z,38575104,45.12823,18.03807
2025-12-29T22:06:26.531Z,38575104,45.12823,18.03807
2025-12-29T22:07:29.471Z,38575104,45.12823,18.03807
2025-12-29T22:07:49.291Z,38575104,45.12823,18.03807
2025-12-29T22:11:04.321Z,38575104,45.12823,18.03807
2025-12-29T22:13:05.172Z,38582529,45.157295,18.012129
2025-12-29T22:13:47.105Z,38580487,45.153206,18.023843
2025-12-29T22:16:21.893Z,38580481,45.153206,18.023843
2025-12-29T22:17:00.193Z,38580481,45.153206,18.023843
2025-12-29T22:18:51.980Z,38580482,45.153206,18.023843
2025-12-29T22:21:10.303Z,38588673,45.165458,18.012485
2025-12-29T22:21:25.430Z,38589462,45.165458,18.012485
2025-12-29T22:21:50.372Z,38589462,45.165458,18.012485
2025-12-29T22:22:11.589Z,38589463,45.165458,18.012485
2025-12-29T22:22:07.285Z,38588674,45.165458,18.012485
2025-12-29T22:23:00.669Z,38508808,45.159711,17.998571
2025-12-29T22:22:54.225Z,38589463,45.165458,18.012485
2025-12-29T22:23:45.416Z,38654986,45.169064,17.990076
2025-12-29T22:24:25.740Z,38654998,45.169064,17.990076
2025-12-29T22:24:44.616Z,38654999,45.169064,17.990076
2025-12-29T22:25:44.460Z,38508041,45.169004,17.976107
2025-12-29T22:26:41.805Z,38648328,45.178397,17.985218
2025-12-29T22:26:33.006Z,38648331,45.178397,17.985218
2025-12-29T22:26:33.627Z,38508041,45.169004,17.976107
2025-12-29T22:28:57.465Z,38648322,45.178397,17.985218
2025-12-29T22:28:41.143Z,38648328,45.178397,17.985218
2025-12-29T22:28:46.093Z,38508040,45.169004,17.976107
2025-12-29T22:28:52.769Z,38648322,45.178397,17.985218
2025-12-29T22:28:55.416Z,38508034,45.169004,17.976107
2025-12-29T22:30:13.893Z,38508040,45.169004,17.976107
2025-12-29T22:31:03.588Z,38508040,45.169004,17.976107
2025-12-29T22:30:53.433Z,38508040,45.169004,17.976107
2025-12-29T22:31:02.639Z,64081926,45.07352,17.89194
2025-12-29T22:33:21.423Z,38506502,45.180422,17.909193
2025-12-29T22:34:54.224Z,38506502,45.180422,17.909193
2025-12-29T22:39:59.694Z,38656774,45.196722,17.99116
2025-12-29T22:41:30.731Z,13578,,
2025-12-29T22:42:03.667Z,13642,,
2025-12-29T22:43:36.450Z,13642,,
2025-12-29T22:52:22.103Z,38656774,45.196722,17.99116
2025-12-29T22:54:27.110Z,13642,,
2025-12-29T22:54:39.487Z,13642,,
2025-12-29T22:54:40.469Z,13642,,
2025-12-29T22:54:45.291Z,13642,,
2025-12-29T22:54:59.628Z,13642,,
2025-12-29T23:01:44.227Z,13642,,
2025-12-29T23:02:27.360Z,38506577,45.180422,17.909193
2025-12-29T23:02:28.542Z,38506577,45.180422,17.909193
2025-12-29T23:02:54.161Z,38506577,45.180422,17.909193
2025-12-29T23:03:12.176Z,38506577,45.180422,17.909193
2025-12-29T23:03:34.544Z,38506577,45.180422,17.909193
2025-12-29T23:03:52.998Z,38506577,45.180422,17.909193
2025-12-29T23:04:12.944Z,38506577,45.180422,17.909193
2025-12-29T23:04:36.803Z,38506577,45.180422,17.909193
2025-12-29T23:06:26.682Z,38506577,45.180422,17.909193
2025-12-29T23:06:43.006Z,38666835,45.169004,17.976107
2025-12-29T23:06:58.115Z,64082001,45.07352,17.89194
2025-12-29T23:06:33.744Z,38506577,45.180422,17.909193
2025-12-29T23:06:49.683Z,38666835,45.169004,17.976107
2025-12-29T23:06:56.234Z,64082001,45.07352,17.89194
2025-12-29T23:06:57.470Z,38506577,45.180422,17.909193
2025-12-29T23:07:04.420Z,38506503,45.180422,17.909193
2025-12-29T23:07:09.036Z,64081926,45.07352,17.89194
2025-12-29T23:07:10.591Z,38506503,45.180422,17.909193
2025-12-29T23:07:16.684Z,38506503,45.180422,17.909193
2025-12-29T23:07:16.429Z,64081926,45.07352,17.89194
2025-12-29T23:07:17.390Z,38508040,45.169004,17.976107
2025-12-29T23:07:20.431Z,38506503,45.180422,17.909193
2025-12-29T23:07:22.217Z,38508040,45.169004,17.976107
2025-12-29T23:08:23.489Z,38508040,45.169004,17.976107
2025-12-29T23:08:25.093Z,38508040,45.169004,17.976107
2025-12-29T23:08:30.822Z,38666835,45.169004,17.976107
2025-12-29T23:09:40.326Z,38648322,45.178397,17.985218
2025-12-29T23:09:20.433Z,38576723,45.178397,17.985218
2025-12-29T23:09:27.687Z,38666835,45.169004,17.976107
2025-12-29T23:09:28.931Z,38576723,45.178397,17.985218
2025-12-29T23:09:35.583Z,38508034,45.169004,17.976107
2025-12-29T23:10:16.434Z,38648331,45.178397,17.985218
2025-12-29T23:09:47.876Z,38648331,45.178397,17.985218
2025-12-29T23:09:51.367Z,38508043,45.169004,17.976107
2025-12-29T23:09:58.320Z,38648331,45.178397,17.985218
2025-12-29T23:10:11.157Z,38648331,45.178397,17.985218
2025-12-29T23:10:02.521Z,38508043,45.169004,17.976107
2025-12-29T23:10:15.278Z,38508043,45.169004,17.976107
2025-12-29T23:10:20.257Z,38648331,45.178397,17.985218
2025-12-29T23:10:22.022Z,38508043,45.169004,17.976107
2025-12-29T23:10:25.946Z,38648331,45.178397,17.985218
2025-12-29T23:10:32.107Z,38508043,45.169004,17.976107
2025-12-29T23:10:34.411Z,38648331,45.178397,17.985218
2025-12-29T23:10:44.096Z,64003339,45.196722,17.99116
2025-12-29T23:10:46.115Z,38648331,45.178397,17.985218
2025-12-29T23:10:58.194Z,38576663,45.178397,17.985218
2025-12-29T23:11:33.494Z,38576723,45.178397,17.985218
2025-12-29T23:11:32.284Z,38648322,45.178397,17.985218
2025-12-29T23:11:37.523Z,38576723,45.178397,17.985218
2025-12-29T23:11:44.173Z,38648322,45.178397,17.985218
2025-12-29T23:11:57.149Z,38508041,45.169004,17.976107
2025-12-29T23:11:59.059Z,38648331,45.178397,17.985218
2025-12-29T23:12:04.828Z,38508041,45.169004,17.976107
2025-12-29T23:12:08.205Z,38648331,45.178397,17.985218
