time,current,latWgs84,lonWgs84
2025-12-14T10:07:57.449Z,89834517,,
2025-12-14T10:40:04.799Z,89834517,,
2025-12-14T11:30:05.678Z,89834517,,
2025-12-14T11:57:57.768Z,89834517,,
2025-12-14T12:20:06.069Z,89834517,,
2025-12-14T13:10:07.038Z,89834517,,
2025-12-14T13:47:58.079Z,89834517,,
2025-12-14T14:00:07.375Z,89834517,,
2025-12-14T14:50:07.799Z,89834517,,
2025-12-14T15:37:58.431Z,89834517,,
2025-12-14T15:40:08.438Z,89834517,,
2025-12-14T16:30:08.818Z,89834517,,
2025-12-14T17:20:09.119Z,89834517,,
2025-12-14T17:27:58.749Z,89834517,,
2025-12-14T18:10:09.879Z,89834517,,
2025-12-14T19:00:10.289Z,89834517,,
2025-12-14T19:17:59.049Z,89834517,,
2025-12-14T19:50:10.654Z,89834517,,
2025-12-14T20:40:11.387Z,89803776,45.834292,16.301304
2025-12-14T21:07:59.395Z,89803785,45.834292,16.301304
2025-12-14T21:11:58.358Z,89803785,45.834292,16.301304
2025-12-14T21:12:39.545Z,89803785,45.834292,16.301304
2025-12-14T21:15:27.189Z,89834517,,
2025-12-14T22:18:16.698Z,89803785,45.834292,16.301304
2025-12-15T06:42:27.077Z,89803785,45.834292,16.301304
2025-12-15T06:47:31.977Z,89803785,45.834292,16.301304
2025-12-15T10:31:54.259Z,89803785,45.834292,16.301304
2025-12-15T10:45:32.224Z,89803785,45.834292,16.301304
2025-12-15T10:50:19.309Z,89803785,45.834292,16.301304
2025-12-15T11:40:19.595Z,89803785,45.834292,16.301304
2025-12-15T11:46:20.842Z,89803785,45.834292,16.301304
2025-12-15T11:46:55.581Z,89803785,45.834292,16.301304
2025-12-15T11:46:58.692Z,89803782,45.834292,16.301304
2025-12-15T11:48:02.593Z,89803785,45.834292,16.301304
2025-12-15T12:30:20.339Z,89803785,45.834292,16.301304
2025-12-15T13:20:20.689Z,89803785,45.834292,16.301304
2025-12-15T13:38:02.896Z,89803785,45.834292,16.301304
2025-12-15T14:10:21.838Z,89803785,45.834292,16.301304
2025-12-15T15:00:22.978Z,89834517,,
2025-12-15T15:28:03.289Z,89834517,,
